statistical	statistikos
somewhat	šiek tiek
passing	praeiti
bonus	premija
hallway	prieškambaris
lady	ponia
planning	planavimas
ten	dešimt
grandchild	anūkas
noon	vidurdienį
red	raudona
work	dirbti
convinced	įsitikinęs
tribal	genties
vaccine	vakcina
behavioral	elgesio
hero	herojus
parental	tėvų
shift	pamaina
punish	nubausti
rally	ralyje
go up	pakilti
fourth	ketvirta
retreat	trauktis
god	dievas
priest	kunigas
grab	patraukti
go	eiti
vendor	pardavėjas
pole	polius
fill in	užpildykiti
awareness	sąmoningumas
divine	dieviškas
detailed	detalus
jungle	džiunglėse
cross	kirsti
alarm	signalas
sole	padas
tone	tonas
ground	žemės
mission	misija
period	laikotarpį
organized	organizuotas
plan	planuoti
gene	genas
assault	užpuolimas
hand in	paduoti
domestic	vidaus
sign	ženklas
tension	įtampa
after	po to
mysterious	mįslingas
attraction	patrauklumas
space out	išretinti
ordered	įsakė
wear off	nublankti
true	tikros
medal	medalis
gentleman	džentelmenas
pack	pakuoti
naval	laivynas
important	svarbus
pillow	pagalvė
central	centrinis
wake	pabusti
straw	šiaudai
nation	tauta
never	niekada
legislation	teisės aktus
poll	apklausa
road	kelias
depict	pavaizduoti
camp	stovykla
desperate	beviltiška
contain	sudėti
elect	išrinkti
finance	finansuoti
landing	nusileidimas
recognize	atpažinti
stuff	dalykų
maker	gamintojas
glory	šlovė
outfit	apranga
inform	informuoti
jail	kalėjime
partnership	partnerystė
sexy	seksualus
sauce	padažas
fascinating	žavinga
forum	forumas
venture	rizikos
provide	teikti
cooperate	bendradarbiauti
equivalent	lygiaverčiai
distract	atitraukti
awful	baisus
breathe	kvėpuoti
ambitious	ambicingas
doze off	užsnūsti
gay	gėjus
carrier	vežėjas
logical	logiška
privacy	privatumas
touchdown	prisilietimas
establishment	įsteigimas
write	rašyti
discuss	aptarti
juice	sultys
physician	gydytojas
addition	papildymas
transit	tranzitas
currency	valiuta
rid	atsikratyti
green	žalias
persuade	įtikinti
exit	išeiti
annually	kasmet
appeal	kreiptis
bullet	kulka
parade	paradas
dress up	apsirengti
pool	baseinas
engineering	inžinerija
service	paslauga
municipal	savivaldybės
sweep	valyti
partner	partneris
international	tarptautiniu mastu
better	geriau
queen	karalienė
come in	įeiti
call	skambinti
leading	pirmaujantis
call in	skambinkite
exception	išimtis
hungry	alkanas
distribution	paskirstymas
barrier	barjeras
logic	logika
significantly	gerokai
shrimp	krevetės
pill	tabletes
radio	radijo
statue	statula
sensitive	jautrus
plate	plokštė
beam	sijos
captain	kapitonas
front	priekyje
lesson	pamoka
dinner	vakarienė
planet	planeta
tail	uodega
together	kartu
corporation	korporacija
behalf	vardu
duty	pareia
generation	karta
story	istorija
sentence	sakinys
advantage	pranašumas
ghost	vaiduoklis
tell	pasakyti
get off	atstoti
hundred	šimtai
pull out	ištraukti
relative	giminaitis
smooth	sklandžiai
biological	biologinis
clear up	išaiškinti
consent	sutikimas
smart	protingas
citizen	pilietis
electronic	elektroniniu būdu
steep	stačias
dramatic	dramatiškas
equally	vienodai
peaceful	taikūs
total	iš viso
zone	zona
tear down	nugriauti
traveler	keliautojas
research	mokslinius tyrimas
yet	dar
pork	kiauliena
forty	keturiasdešimt
galaxy	galaktika
dramatically	dramatiškai
generous	turtinga
casino	kazino
stay	likti
let down	nuvilti
manner	būdas
stroke	insultas
guide	vadovas
relevant	aktualus
text	tekstas
affect	paveikti
confrontation	konfrontacija
administrative	administracinės
square	kvadratas
marriage	santuoka
battery	baterija
warehouse	sandėlis
president	pirmininkas
album	albumas
missionary	misionierius
jew	žydas
controversial	prieštaringas
input	įvestis
voluntary	savanoriškas
principal	principas
cabinet	spintelė
athlete	sportininkas
industrial	pramonės
journalist	žurnalistas
creative	kūrybingas
drown	nuskęsti
medication	vaistas
german	vokiečių kalba
condition	sąlyga
give up	pasiduoti
striking	ryškus
conscious	sąmoningas
rape	išprievartavimas
lend	skolinti
scared	bijo
echo	aidas
warrior	karys
rocket	raketa
degree	laipsnis
winter	žiemą
theme	tema
relate	susieti
ideology	ideologija
once	kartą
kill	nužudyti
fix up	pataisyti
knock	belsti
itself	pats
nuclear	branduolinės energijos
endure	ištverti
historic	istorinis
telephone	telefonu
herself	pati
bean	pupelės
depression	depresija
optimistic	optimistiškas
admission	priėmimas
ecosystem	ekosistema
attractive	patrauklus
boast	pasigirti
situation	situaciją
disagree	nesutikti
negative	neigiamas
interview	interviu
first	pirmas
transmission	perdavimas
moment	momentas
bedroom	miegamasis
deck	denis
butterfly	drugelis
early	anksti
deny	paneigti
transformation	transformacija
lung	plaučių
bulb	lemputė
broker	tarpininkas
sue	iškelti bylą
cousin	pusbrolis
reverse	atvirkščiai
accident	avarija
topic	temą
sail	plaukti
pitch	pikis
twentieth	dvidešimt
job	darbas
virtue	dorybė
task	užduotis
dry out	išdžiūti
army	armija
complicated	sudėtinga
vote	balsas
instructional	mokymo
frequently	dažnai
direction	kryptis
player	grotuvas
depend	priklauso
colors	spalvos
cable	kabelis
hotel	viešbutis
motion	judėjimas
hold up	palauk
gift	dovanos
heavy	sunkus
obvious	aiškus
violent	smurtinis
rural	kaimo
luck	sėkmė
yourself	patys
aunt	teta
ensure	užtikrinti
magazine	žurnalas
plot	sklypas
personally	asmeniškai
preliminary	preliminarus
inflation	infliacija
pay up	sumokėti
genetic	genetinis
high	aukštas
ironically	ironiškai
translation	vertimas
wave	banga
change	pakeisti
light up	įžiebti
movie	filmas
healthy	sveikas
grocery	maisto prekių parduotuvė
visit	apsilankykti
computer	kompiuteris
safety	saugumas
fisherman	žvejas
enemy	priešas
school	mokykloje
tax	mokestis
straight	tiesiai
workshop	dirbtuvės
calculation	apskaičiavimas
expression	išraiška
dried	džiovinti
tool	įrankis
fare	kaina
depart	išvykti
stability	stabilumas
density	tankis
confess	prisipažinti
rule out	išskirti
grand	grand
publicity	viešumas
newly	naujai
appoint	paskirti
new	naujas
math	matematika
transport	transportas
accept	priimti
somewhere	kažkur
texture	tekstūra
academic	akademinis
grow up	užaugti
alleged	tariamas
southwest	į pietvakarius
even	netgi
order	įsakymas
cover	padengti
seat	sėdynė
market	turgus
flight	skrydis
easy	lengva
sexually	seksualiai
notion	sąvoka
provider	teikėjas
swing	sūpynės
war	karas
fashion	mada
retail	mažmeninė
suppose	manau
intellectual	intelektualus
dna	dnr
combine	derinti
offense	nusikaltimas
discourage	atgrasyti
publication	paskelbimas
export	eksportuoti
survival	išlikimas
retired	išėjęs į pensiją
carry	nešioti
typically	paprastai
thought	maniau
teach	mokyti
candle	žvakė
shy	drovus
proudest	garbingiausia
proof	įrodymas
interesting	įdomus
organizational	organizaciniai
comprehensive	išsaus
paint	tapyti
clog up	užkimšti
evidence	įrodymai
me	man
childhood	vaikystėje
sentiment	nuotaikos
match	rungtynės
friendship	draugystė
improvement	pagerėjimas
integrated	integruota
plain	paprastas
dialogue	dialogas
integrate	integruoti
every	kiekvienas
supposedly	tariamai
frequency	dažnis
director	direktorius
formula	formulė
earn	uždirbti
bee	bitė
tighten	priveržkite
dose	dozė
preserve	išsaugoti
sufficient	pakanka
breakfast	pusryčiai
self	savarankiškai
riot	riaušės
youngster	jaunuolis
fighter	kovotojas
traditionally	tradiciškai
mayor	meras
blow up	susprogdinti
enthusiasm	entuziazmas
positive	teigiamas
closer	arčiau
recovery	atsigavimas
identity	tapatybę
commodity	prekė
desk	stalas
privilege	privilegija
sensitivity	jautrumas
anything	ką nors
contribution	įnašas
athletic	atletiškas
satellite	palydovą
welfare	gerovė
organism	organizmas
faster	greičiau
dared	drįso
tonight	šį vakarą
arrive	atvykti
fiction	grožinė literatūra
asleep	miegoti
animal	gyvūnas
consultant	konsultantas
however	tačiau
we	mes
sovereignty	suverenitetas
read	skaityti
river	upė
move in	persikelti
breeze	vėjas
currently	šiuo metu
sophisticated	sudėtingas
future	ateityje
balance	balansas
genius	genijus
federal	federalinis
role	vaidmenį
sprinkle	pabarstyti
statute	statutas
parking	automobilių stovėjimo aikštelė
float	plūdė
objection	prieštaravimas
consult	konsultuotis
continue	tęsti
involved	įtrauktas
nationwide	visoje šalyje
internet	internetas
automobile	automobilių
mom	mama
shell	apvalkalas
coming	ateinantis
little	mažai
rifle	šautuvas
source	šaltinis
small	mažas
hair	plaukai
fault	gedimas
lonely	vienišas
organ	organas
push	stumti
entity	subjektas
burn up	supykdyti
diary	dienoraštis
rank	rangas
trailer	priekaba
combination	derinys
function	funkcija
inspection	inspekcija
list	sąrašas
pink	rožinis
harmony	harmonija
notice	pastebėti
peanut	žemės riešutai
inner	vidinis
judicial	teisminės institucijos
friendly	draugiškas
tropical	atogrąžų
craft	amatas
religious	religinės
definition	apibrėžimas
my	mano
glove	pirštinės
legislative	teisėkūros
column	stulpelis
hardware	techninė įranga
corridor	koridorius
simply	tiesiog
technology	technologijos
impression	įspūdis
spine	stuburas
awake	pabudęs
counter	skaitiklis
driveway	važiuojamosios dalies
understanding	supratimas
vision	vizija
bring	atsinešti
clock	laikrodis
arena	arena
strategic	strateginis
none	nė vienas
quote	cituoti
temporary	laikinas
measurement	matavimas
taxpayer	mokesčių mokėtojas
shake	purtyti
soon	neužilgo
pencil	pieštukas
leave off	nustoti
harsh	griežtas
stick	klijuoti
cake	tortas
experienced	patyręs
dock	prieplauka
tightly	griežtai
suspend	sustabdyti
sector	sektorius
absolute	absoliutus
happened	nutiko
jurisdiction	jurisdikcija
lover	meilužis
associated	susiję
music	muzika
some	kai kurie
orange	oranžinė
van	furgonas
morning	ryte
cut out	iškirpti
measure	priemonė
accompany	lydėti
banker	bankininkas
respondent	respondentas
cite	paminėti
watch	žiūrėti
uncertain	neaišku
sink	kriauklė
reform	reformą
fatigue	nuovargis
dry off	nudžiūti
rare	retas
concentration	koncentracija
fragile	trapus
strategy	strategija
beg	elgetauti
climate	klimatas
collection	rinkimas
screw up	prisukti
track down	susekti
opponent	priešininkas
ministry	ministerija
sake	labui
election	rinkimai
seldom	retai
decrease	mažinti
cotton	medvilnės
catch up	pasivyti
inventory	inventorius
availability	prieinamumą
arrangement	išdėstymas
old	senas
graduation	baigimas
financial	finansinės
suburb	priemiestis
reportedly	pranešama
patron	globėjas
colony	kolonija
molecule	molekulės
increasingly	vis labiau
terrorism	terorizmu
eight	aštuoni
shore	krantas
fit	tikti
peak	pikas
anybody	bet kas
theological	teologinis
emergency	skubus atvėjis
sensor	jutiklis
compliance	laikymasis
ongoing	vyksta
division	padalijimas
turn up	pasirodyti
accurate	tiksli
minimal	minimalus
rice	ryžiai
charm	žavesys
ballot	balsavimas
solar	saulės energija
drum	būgnas
lighting	apšvietimas
himself	savyje
absorb	sugerti
around	aplink
diversity	įvairovė
curious	smalsu
payment	mokėjimas
strengthen	stiprinti
local	vietos
essence	esmė
await	laukti
recognition	pripažinimą
bed	lova
handle	rankena
landscape	kraštovaizdį
equity	nuosavo kapitalo
broken	neveikiantis
assemble	surinkti
container	konteineris
rule	taisyklė
active	aktyvus
account	sąskaita
entry	įrašas
haul	traukos
window	langas
processing	apdorojimas
unable	negali
helmet	šalmas
prominent	pastebimas
threat	grėsmį
cigarette	cigaretė
elder	vyresnysis
walking	vaikščioti
potentially	potencialiai
look out	saugokis
sight	regėjimas
economic	ekonominis
counterpart	kolega
actively	aktyviai
original	originalus
debut	debiutas
apologize	atsiprašyti
symbolic	simbolinė
why	kodėl
mass	masė
feminist	feministas
dictate	diktuoti
membership	narystė
index	indeksas
scan	nuskaityti
tragedy	tragedija
height	aukštis
devoured	atleistas
seed	sėklos
distribute	paskirstyti
refer	nurodykite
father	tėvas
pull	traukti
us	mus
garbage	šiukšles
conspiracy	sąmokslo
shoe	batų
now	dabar
burst out	ištrūkti
join	prisijungti
jury	žiuri
last	paskutinis
month	mėnesis
pretty	graži
build	pastatyti
bold	paryškinti
exploit	išnaudoti
spectrum	spektrą
foot	pėdos
whole	visuma
resistance	atsparumas
wound	žaizda
document	dokumentas
refrigerator	šaldytuvas
produce	gaminti
meal	valgis
citizenship	pilietybė
parent	tėvai
progress	progresas
symptom	simptomas
thrive	klestėti
split	suskaidytas
mount	kalno
ugly	bjaurus
skip	praleisti
apple	obuolys
floor	grindys
chair	kėdė
ego	ego
phenomenon	reiškinys
everywhere	visur
sugar	cukraus
creativity	kūrybiškumas
permanent	nuolatinis
drunk	girtas
web	žiniatinklis
wheat	kviečiai
teacher	mokytojas
plane	plokštuma
bronze	bronza
profile	profilis
odds	šansai
telescope	teleskopas
shelter	pastogė
unusual	neįprasta
nature	pobūdis
contrast	kontrastas
crime	nusikalstamumas
territory	teritorija
psychology	psichologija
blood	kraujas
any	bet kuris
eastern	rytų
dependent	priklausomas
convert	paversti
male	vyras
weak	silpnas
sky	dangus
exhibition	paroda
brush off	nušluoti
retirement	išėjimas į pensiją
bridge	tiltas
gain	įgyti
incredibly	neįtikėtinai
disappointment	nusivylimas
description	apibūdinimas
profit	pelnas
attribute	atributas
shock	šokas
wrong	neteisinga
sack	maišas
minor	nepilnametis
credit	kreditas
incredible	neįtikėtinas
approach	metodas
expect	tikėtis
gallery	galerijoje
shareholder	akcininkas
adventure	nuotykiai
builder	statybininkas
repair	remontas
kingdom	karalystė
global	pasauliniu mastu
presidential	prezidento
base	bazė
comforted	pasilengvino
folk	liaudies
press	paspausti
when	kadaa
limit	riba
advance	iš anksto
burst	sprogti
glad	džiaugtis
exchange	keistis
broadcast	transliuoti
possible	įmanoma
meeting	posėdis
slow down	sulėtinti
round	turas
wash	plauti
champion	čempionas
six	šešios
food	maistas
check in	įsiregistruoti
teaspoon	šaukštelis
overnight	per naktį
related	susijęs
flour	miltai
embarrassed	sutrikęs
eyebrow	antakis
blind	aklas
homeless	benamiai
fifth	penkta
fruit	vaisiai
break up	išsiskirti
realm	sritis
dissolve	ištirpinkite
version	versija
colonial	kolonijinis
numerous	gausus
literature	literatūra
peel	žievelės
compel	priversti
conviction	įsitikinimas
syndrome	sindromas
attention	dėmesys
random	atsitiktinai
elbow	alkūnė
barely	vos
daughters	dukros
necessary	būtina
unfair	nesąžininga
embrace	apkabinti
shop	parduotuvė
stress out	nervintis
planner	planuotojas
option	parinktis
group	grupę
agreement	susitarimas
advice	patarimas
publisher	leidėjas
fact	faktas
lack	trūksti
kick	smūgis
anniversary	metinės
grandmother	močiutė
far	toli
bottom	apačioje
import	importuoti
revolutionary	revoliucinis
such	toks
according	pagal
warn	įspėti
popular	populiarus
water	vanduo
occupy	užimti
aspect	aspektas
defendant	atsakovas
confuse	supainioti
interpretation	interpretacija
compelling	įtikinamas
engage	įsitraukti
improve	pagerinti
media	žiniasklaida
marry	tuoktis
temper	temperamentas
tie	kaklaraištis
poor	vargšas
humor	humoras
form	suformuoti
one-third	viena trečioji
status	statusas
tale	pasaka
training	mokymas
guest	svečias
considerably	žymiai
give	duoti
talent	talentas
era	era
will	valia
gap	spragą
bake	kepti
advise	patarti
fill	užpildyti
march	kovas
rip up	išardyti
shot	nušautas
courage	drąsos
speculation	spekuliacija
wheel	ratas
guilt	kaltė
pepper	pipirų
something	kažkas
economically	ekonomiškai
harassment	priekabiavimas
salmon	lašiša
screening	patikrinimas
am	esu
justify	pateisinti
headline	antraštė
meet	susitikti
sweater	megztinis
books	knygos
bread	duona
metal	metalo
examination	egzaminą
not	nee
than	nei
because	nes
drop in	užeiti
process	procesas
former	buvęs
about	apie
chemical	cheminės medžiagos
scramble	peštynės
occur	atsiranda
carbon	anglis
elite	elitas
interaction	sąveika
plastic	plastmasinis
angry	piktas
hispanic	ispaniškas
anxiety	nerimas
ritual	ritualas
opposition	opozicija
maybe	gal būt
consequence	pasekmė
brave	drąsus
tree	medis
oil	aliejus
stand up	atsistoti
fat	storas
chain	grandinė
elsewhere	kitur
rolling	valcavimas
supreme	aukščiausiasis
innovative	novatoriškas
smile	šypsena
standing	stovėjimas
resolution	rezoliucija
rip off	nusplėšti
soft	minkštas
leap	šuolis
cool	šaunus
soldier	kareivis
golf	golfas
personnel	personalas
passenger	keleivis
trunk	bagažinė
bar	baras
delicate	subtilus
photo	nuotrauka
key	raktas
mushroom	grybai
legislator	įstatymų leidėjas
residence	gyvenamoji vieta
quantity	kiekis
belt	diržas
variable	kintamasis
northern	šiaurėje
essay	esė
warning	įspėjimas
deer	elnias
apply	taikyti
assembly	surinkimas
union	sąjunga
brief	trumpas
workout	sportuoti
cage	narve
girlfriend	mergina
building	pastatas
briefly	trumpai
hunting	medžioklė
resist	atsispirti
radiation	spinduliuotės
happy	laimingas
member	narys
transform	transformuoti
fear	baimė
fellow	kolegos
automatically	automatiškai
celebrity	garsenybė
surveillance	priežiūra
happily	laimingai
scene	scenoje
distinction	atskyrimas
instance	instancija
detect	aptikti
joke	pokštas
regard	atžvilgiu
conservative	konservatyvus
employment	užimtumą
audience	auditorija
street	gatvė
initiative	iniciatyva
step	žingsnis
button	mygtukas
work out	išspręsti
sooner	ankstesniau
terrible	baisi
scale	skalė
civic	pilietinis
fan	ventiliatorius
officer	pareigūnas
honest	nuoširdus
swear	prisiekti
language	kalba
widow	našlė
orbit	orbita
upstairs	viršutiniame aukšte
cabin	kabina
agricultural	žemės ūkio
court	teismas
commercial	komercinės
testify	liudyti
learning	mokymasis
tennis	tenisas
ease	lengvumas
divorce	skyrybų
psychologist	psichologas
stranger	svetimas
evolve	vystytis
access	prieiga
restrict	apriboti
fall	ruduo
sin	nuodėmė
individual	individualus
custom	paprotys
surprisingly	stebėtinai
spill	išsiliejimas
obviously	akivaizdu
power	galia
airport	oro uostą
create	sukurti
confusion	painiava
do without	išsiversti be
seen	pamatytas
universe	visatos
cure	išgydyti
careful	atsargus
barrel	barelis
stay off	nesikišti
dress	suknelė
offensive	agresyvus
burden	našta
classify	klasifikuoti
disorder	sutrikimas
start out	pradėti
suck	čiulpti
sun	saulė
reporting	ataskaitų teikimas
infrastructure	infrastruktūra
beat	mušti
exist	egzistuoja
slope	nuolydis
anywhere	bet kur
center	centras
disaster	nelaimė
commission	komisija
entire	visas
available	galima
basis	pagrindu
textbook	vadovėlis
moreover	be to
living	gyvenimas
credibility	patikimumas
bat	šikšnosparnis
despite	nepaisant
patent	patentas
enter	įvesti
case	atveju
bell	varpas
technician	technikas
stupid	kvailas
contact	kontaktas
district	rajonas
application	taikymo
jaw	žandikaulį
simple	paprasta
sculpture	skulptūra
side	pusėje
respect	gerbti
thin	plonas
meter	metras
fluid	skystis
deadline	terminas
voter	rinkėjas
accurately	tiksliai
presence	buvimas
state	būsena
competitive	konkurencinga
lie	melas
racism	rasizmas
terrain	vietovės
continuing	toliau
host	šeimininkas
african	afrikos
increasing	didėja
model	modelis
bond	obligacijos
fever	karščiavimas
blink	mirksėti
stay out	negrįžti namo
angel	angelas
sum	suma
sound	garsas
tap	bakstelėkite
string	eilutė
feed	maitinti
compound	junginys
burn	deginti
rib	šonkaulis
lake	ežeras
creation	kūrimas
buyer	pirkėjas
steadily	nuolat
spouse	sutuoktinis
domain	domenas
dry	sausas
questionnaire	klausimynas
lightly	lengvai
rough	šiurkštus
campus	miestelis
lose	prarasti
science	mokslas
assessment	vertinimą
porch	veranda
museum	muziejus
income	pajamos
twice	dukart
use	naudoti
settlement	atsiskaitymas
loud	garsiai
generally	apskritai
slight	nedidelis
momentum	pagreitis
few	nedaug
elderly	vyresnio amžiaus
technological	technologinės
delay	delsimas
photographer	fotografas
midnight	vidurnaktis
refuse	atsisakyti
bird	paukštis
from	nuo
homeland	tėvynė
draw	piešti
costume	kostiumas
prosecutor	kaltintojas
sharp	aštrus
eating	valgymas
ambition	ambicija
invention	išradimas
theoretical	teorinis
laugh	juoktis
beginning	pradžia
following	kitas
bite	įkansti
command	komanda
complaint	skundas
investor	investuotojas
valid	galioti
kind	malonus
vacation	atostogos
barn	tvartas
surrounding	aplinkui
challenge	iššūkis
borrow	skolintis
prize	prizas
tablespoon	šaukštas
neck	kaklas
drawing	piešimas
atmosphere	atmosfera
fantastic	fantastinis
please	prašau
sweat	prakaitas
example	pavyzdys
start up	įkurti
contemporary	šiuolaikiškas
abuse	piktnaudžiavimas
personality	asmenybė
reserve	užrezervuoti
nine	devyni
unknown	nežinoma
snow	sniegas
calendar	kalendorius
knowledge	žinios
canvas	drobė
rear	gale
wear down	nudėvėti
found	rasta
thoroughly	kruopščiai
afternoon	po pietų
capable	gali
earthquake	žemės drebėjimas
tuck	įsiminti
find	rasti
straighten	ištiesinkite
solid	kietas
taste	skonis
consume	vartoti
rim	ratlankis
opinion	nuomonę
analyst	analitikas
passion	aistra
balloon	balionas
remain	lieka
amendment	pakeitimą
butt	užpakalis
poetry	poezija
stir	maišykite
familiar	susipažinę
sanction	sankcija
radar	radaras
install	diegti
suggest	pasiūlyti
sometimes	kartais
establish	nustatyti
dough	tešla
light	šviesa
lawn	veja
finish	baigti
mineral	mineralinis
exhibit	eksponuoti
ever	kadanors
national	nacionalinis
pension	pensiją
sample	mėginys
productivity	produktyvumas
criticize	kritikuoti
real	tikras
average	vidurkis
researcher	tyrėjas
really	tikrai
supportive	palaikantis
appear	pasirodys
assumption	prielaida
whether	ar
upper	viršutinis
quite	gana
tile	plytelė
cheese	sūris
without	be
unite	suvienyti
satisfaction	pasitenkinimas
jewelry	papuošalai
bottle	butelis
denial	neigimas
jump	šokinėti
county	apskritis
truth	tiesa
endorse	pritarti
cultural	kultūros
dynamic	dinamiškas
intelligence	intelektas
underlying	pagrindas
sorry	atsiprašau
say	sakykite
nonprofit	nepelno
boil	virti
several	keli
entrance	įėjimas
elegant	elegantiškas
take out	išnešti
actor	aktorius
complexity	sudėtingumas
late	vėlai
helicopter	sraigtasparnis
grandfather	senelis
acknowledge	pripažinti
collapse	sužlugti
forward	persiųsti
rose	pakilo
south	į pietus
route	maršrutas
pregnant	nėščia
fitness	tinkamumas
reflect	atspindėti
informal	neoficialus
steal	pavogti
run	paleisti
channel	kanalas
author	autorius
four	keturi
two	du
party	vakarėlis
mood	nuotaika
patrol	patrulis
deserve	nusipelno
troop	kariuomenė
republic	respublika
rebuild	atstatyti
instinct	instinktas
sexual	seksualinis
entertainment	pramogos
utility	naudingumas
european	europos
emotionally	emociškai
flip out	apversti
item	elementas
recession	nuosmukis
library	biblioteka
repeat	pakartokite
summer	vasara
blue	mėlyna
pleasure	malonumas
stress	stresas
bias	šališkumas
rain	lietus
card	kortelė
nightmare	košmaras
pretend	apsimesti
classical	klasikinis
pick	pasiimti
rival	varžovas
duck	antis
chicken	vištiena
dancer	šokėja
elaborate	detalizuoti
illusion	iliuzija
politics	politika
belong	priklausyti
package	paketas
agenda	darbotvarkė
silver	sidabras
sigh	atodūsis
vocal	vokalas
realize	suprasti
put down	padėti
shoot	šaudyti
fur	kailiai
toxic	toksiškas
stereotype	stereotipas
tourist	turistas
minister	ministras
modest	kuklus
weapon	ginklas
soften	suminkštinti
unemployment	nedarbas
forehead	kakta
medical	medicinos
volunteer	savanoris
most	labiausiai
powerful	galingas
i	aš
fiscal	fiskalinė
excessive	per daug
deem	manoma
chop	pjaustyti
whip	plakti
bite off	atsikąsti
and	ir
social	socialinis
year	metai
leather	oda
scratch	nulio
elementary	elementarios
supplier	tiekėjas
nose	nosis
she	ji
selected	pasirinkta
silk	šilkas
its	jo
concerned	susirūpinęs
lightning	žaibas
be	būti
portion	dalis
choose	pasirinkti
view	vaizdas
tendency	tendencija
dead	miręs
weather	oras
speaker	garsiakalbis
swell	išsipūsti
approval	patvirtinimas
curiosity	smalsumas
anymore	nebėra
rope	virvė
death	mirtis
seventh	septintas
people	žmonių
dying	miršta
ranch	sodyba
toe	pirštai
nurse	slaugytoja
exploration	žvalgymas
consumer	vartotojas
beauty	grožis
skirt	sijonas
beast	žvėris
mirror	veidrodis
perfect	tobulas
pioneer	pradininkas
